Crime,Type
AGGRAVATED ASSAULT,Violent
AGGRAVATED ASSAULT (DOMESTIC),Violent
AGGRAVATED BATTERY (CUTTING),Violent
AGGRAVATED RAPE,Violent
ARMED ROBBERY,Violent
ARMED ROBBERY (GUN),Violent
ATTEMPTED ARMED ROBBERY (GUN),Violent
ATTEMPTED AUTO THEFT,Non-Violent
ATTEMPTED SIMPLE RAPE,Violent
AUTO THEFT,Non-Violent
AUTO THEFT & RECOVERY,Non-Violent
BICYCLE THEFT,Non-Violent
BOMB THREAT,Non-Violent
CRIMINAL MISCHIEF,Non-Violent
DEATH,Violent
DRUG LAW VIOLATION,Non-Violent
ILLEGAL CARRYING OF A GUN,Violent
ILLEGAL CARRYING OF A WEAPON,Violent
INDECENT BEHAVIOR WITH A JUVENILE,Violent
MISDEMEANOR SEXUAL BATTERY,Violent
PICKPOCKET,Non-Violent
SEXUAL BATTERY,Violent
SIMPLE ASSAULT,Violent
SIMPLE BATTERY,Violent
SIMPLE BATTERY (DOMESTIC),Violent
SIMPLE BURGLARY (BUSINESS),Non-Violent
SIMPLE BURGLARY (VEHICLE),Non-Violent
SIMPLE CRIMINAL DAMAGE,Non-Violent
SIMPLE CRIMINAL DAMAGE (DOMESTIC),Non-Violent
SIMPLE RAPE,Violent
SIMPLE ROBBERY,Violent
SUICIDE,Non-Violent
THEFT,Non-Violent
THEFT FROM EXTERIOR OF VEHICLE,Non-Violent
TRESPASSING,Non-Violent
UNCLASSIFIED DEATH,Violent
VIDEO VOYEURISM,Non-Violent
